entity_id,entity_type,business_name,tax_id,license_number,reason,date_flagged,severity,status,last_verified,notes
BL-001,customer,,***-**-4421,,Repeated duplicate VIN submissions across two claims.,2025-02-11,medium,active,2025-10-15,Alleged duplicate VIN use identified in Claim CLM-55211. Ref: SIU-2025-14. Recommend secondary adjuster review.
BL-002,repair_shop,Henrico Auto Refinishing,54-8821144,MD-SHOP-1188,Estimate variance exceeded 38% compared to OEM baseline.,2025-04-22,high,active,2025-10-30,Alleged inflation pattern noted across three related estimates. Ref: SIU-2025-19. Recommend payment hold pending updated photos.
BL-003,medical_provider,Metro Trauma & Spine Center,52-7741182,MD-MED-9944,Billing bundle inconsistencies on post‑op codes.,2025-01-14,medium,under_investigation,2025-09-28,Alleged over-billing indicator on CLM-99124. Ref: SIU-2025-21. Request expanded chart audit.
BL-004,attorney,,87-2219044,,Pattern of alleged staged low‑speed impact submissions.,2024-12-10,high,active,2025-10-05,Three related clients filed similar collision narratives. Ref: SIU-2025-09.
BL-005,customer,,***-**-9923,,Inconsistent residence declarations and repeated claim clustering.,2025-03-18,medium,active,2025-10-11,Address mismatch confirmed against postal database. Ref: SIU-2025-33.
BL-006,medical_provider,Capital Tele-Triage MD Unit,52-8812299,MD-MED-7723,Documentation gaps during telehealth triage review.,2025-02-21,medium,under_investigation,2025-09-12,Alleged missing SOAP elements on CLM-55120. Ref: SIU-2025-41. Request updated chart set.
BL-007,repair_shop,Annapolis Harbor Collision,51-7743112,MD-SHOP-9022,Repeated supplement requests exceeding 40% of initial estimate.,2025-05-05,high,active,2025-10-25,Alleged supplement inflation across four claims. Ref: SIU-2025-28.
BL-008,customer,,***-**-1882,,Vehicle disposal timing inconsistent with reported loss.,2024-12-28,high,active,2025-11-02,Title transfer showed earlier salvage date. Ref: SIU-2025-37.
BL-009,attorney,,59-4410022,,Pattern of alleged coached medical narratives from multiple providers.,2025-04-01,medium,under_investigation,2025-09-20,Four claimants shared nearly identical symptoms. Ref: SIU-2025-45.
BL-010,medical_provider,District TeleNeurology Group,53-8824421,MD-MED-7721,Questioned neuro eval timing gaps vs. logged case times.,2025-01-30,low,active,2025-09-10,Minor timestamp discrepancies on CLM-66231. Ref: SIU-2025-11.
BL-011,customer,,***-**-5191,,Alleged staged parking-lot impact with conflicting witness reports.,2025-03-07,high,active,2025-10-18,Witness narrative conflict noted. Ref: SIU-2025-52.
BL-012,repair_shop,District Elite Collision,52-1183902,MD-SHOP-9922,Unusual labor-hour aggregation on structural repairs.,2025-02-05,medium,active,2025-09-26,Labor review triggered by CLM-88214. Ref: SIU-2025-49.
BL-013,medical_provider,Potomac Ortho & Rehab,52-8821198,MD-MED-7742,Repeated identical treatment plans across unrelated cases.,2025-04-19,medium,active,2025-10-03,Template-like encounter notes flagged. Ref: SIU-2025-31.
BL-014,customer,,***-**-4409,,Multiple loss reports immediately after policy inception.,2025-05-08,medium,active,2025-10-28,High-risk timing pattern observed. Ref: SIU-2025-57.
BL-015,attorney,,77-5519081,,Coordinated filing of soft‑tissue claims with identical providers.,2025-03-29,medium,under_investigation,2025-09-17,Provider clustering identified. Ref: SIU-2025-39.
BL-016,medical_provider,Penn Trauma Recovery Clinic,42-1174520,MD-MED-4502,Inconsistent post‑trauma follow‑up documentation.,2025-02-14,low,active,2025-09-05,Minor documentation gaps. Ref: SIU-2025-23.
BL-017,repair_shop,District Elite Collision,52-1183902,MD-SHOP-9922,Duplicate parts invoices across two unrelated claims.,2025-06-02,critical,active,2025-10-29,Alleged invoice duplication on CLM-55199 and CLM-55244. Ref: SIU-2025-61. Recommend suspension of reimbursements.
BL-018,customer,,***-**-7182,,Conflicting injury statements between ER and provider documentation.,2025-04-14,medium,active,2025-10-12,Injury chronology mismatch. Ref: SIU-2025-43.
BL-019,medical_provider,Capital Orthopedic Rehab Group,53-8094411,MD-MED-2391,Alleged excessive therapy frequency not aligned with clinical guidelines.,2025-03-02,high,active,2025-10-21,Over-utilization review triggered. Ref: SIU-2025-48.
BL-020,repair_shop,Annapolis Harbor Collision,51-7743112,MD-SHOP-9022,OEM procedure omissions found in reinspection.,2025-01-19,medium,active,2025-09-27,Reinspection variance documented. Ref: SIU-2025-18.
BL-021,customer,,***-**-5105,,Mileage discrepancy between prior appraisal and claim submission.,2025-02-28,low,resolved,2025-08-02,Verified odometer entry error corrected; payments reinstated.
BL-022,attorney,,72-5519002,,Repeated late‑filed documentation prolonging claim cycles.,2024-12-05,low,resolved,2025-07-15,Process issues addressed after compliance discussion; cycle times improved.
